A		SANDUSKY RIVER NEAR FREMONT
B		OBSERVED_EDITED
C		DISCHARGE
E		
F		USGS
Units		cms
Type		INST-VAL
42178	29May2013  1630	5.72
42179	29May2013  1700	5.72
42180	29May2013  1730	5.72
42181	29May2013  1800	5.72
42182	29May2013  1830	5.72
42183	29May2013  1900	5.72
42184	29May2013  1930	5.72
42185	29May2013  2000	5.72
42186	29May2013  2030	5.72
42187	29May2013  2100	5.72
42188	29May2013  2130	5.72
42189	29May2013  2200	5.72
42190	29May2013  2230	5.72
42191	29May2013  2300	5.72
42192	29May2013  2330	5.72
42193	30May2013  0000	5.72
42194	30May2013  0030	5.72
42195	30May2013  0100	5.72
42196	30May2013  0130	5.58
42197	30May2013  0200	5.58
42198	30May2013  0230	5.58
42199	30May2013  0300	5.58
42200	30May2013  0330	5.58
42201	30May2013  0400	5.58
42202	30May2013  0430	5.58
42203	30May2013  0500	5.58
42204	30May2013  0530	5.58
42205	30May2013  0600	5.44
42206	30May2013  0630	5.44
42207	30May2013  0700	5.44
42208	30May2013  0730	5.44
42209	30May2013  0800	5.44
42210	30May2013  0830	5.44
42211	30May2013  0900	5.44
42212	30May2013  0930	5.44
42213	30May2013  1000	5.44
42214	30May2013  1030	5.44
42215	30May2013  1100	5.44
42216	30May2013  1130	5.44
42217	30May2013  1200	5.33
42218	30May2013  1230	5.33
42219	30May2013  1300	5.33
42220	30May2013  1330	5.33
42221	30May2013  1400	5.33
42222	30May2013  1430	5.33
42223	30May2013  1500	5.33
42224	30May2013  1530	5.33
42225	30May2013  1600	5.33
42226	30May2013  1630	5.33
42227	30May2013  1700	5.19
42228	30May2013  1730	5.19
42229	30May2013  1800	5.33
42230	30May2013  1830	5.19
42231	30May2013  1900	5.19
42232	30May2013  1930	5.19
42233	30May2013  2000	5.19
42234	30May2013  2030	5.19
42235	30May2013  2100	5.19
42236	30May2013  2130	5.19
42237	30May2013  2200	5.19
42238	30May2013  2230	5.19
42239	30May2013  2300	5.02
42240	30May2013  2330	5.02
42241	31May2013  0000	5.02
42242	31May2013  0030	5.02
42243	31May2013  0100	5.02
42244	31May2013  0130	5.02
42245	31May2013  0200	5.02
42246	31May2013  0230	5.02
42247	31May2013  0300	5.02
42248	31May2013  0330	5.02
42249	31May2013  0400	5.02
42250	31May2013  0430	5.02
42251	31May2013  0500	5.02
42252	31May2013  0530	5.02
42253	31May2013  0600	4.87
42254	31May2013  0630	5.02
42255	31May2013  0700	4.87
42256	31May2013  0730	4.87
42257	31May2013  0800	4.87
42258	31May2013  0830	4.87
42259	31May2013  0900	4.87
42260	31May2013  0930	4.87
42261	31May2013  1000	4.87
42262	31May2013  1030	4.87
42263	31May2013  1100	4.87
42264	31May2013  1130	4.87
42265	31May2013  1200	4.87
42266	31May2013  1230	4.87
42267	31May2013  1300	4.87
42268	31May2013  1330	4.87
42269	31May2013  1400	4.87
42270	31May2013  1430	4.87
42271	31May2013  1500	4.87
42272	31May2013  1530	4.87
42273	31May2013  1600	4.87
42274	31May2013  1630	4.87
42275	31May2013  1700	4.87
42276	31May2013  1730	4.87
42277	31May2013  1800	5.02
42278	31May2013  1830	5.02
42279	31May2013  1900	5.02
42280	31May2013  1930	5.02
42281	31May2013  2000	5.02
42282	31May2013  2030	5.02
42283	31May2013  2100	5.02
42284	31May2013  2130	5.02
42285	31May2013  2200	5.02
42286	31May2013  2230	5.02
42287	31May2013  2300	5.02
42288	31May2013  2330	5.02
42289	01Jun2013  0000	5.02
42290	01Jun2013  0030	5.02
42291	01Jun2013  0100	5.02
42292	01Jun2013  0130	5.19
42293	01Jun2013  0200	5.19
42294	01Jun2013  0230	5.19
42295	01Jun2013  0300	5.19
42296	01Jun2013  0330	5.19
42297	01Jun2013  0400	5.33
42298	01Jun2013  0430	5.33
42299	01Jun2013  0500	5.33
42300	01Jun2013  0530	5.44
42301	01Jun2013  0600	5.44
42302	01Jun2013  0630	5.44
42303	01Jun2013  0700	5.44
42304	01Jun2013  0730	5.44
42305	01Jun2013  0800	5.44
42306	01Jun2013  0830	5.44
42307	01Jun2013  0900	5.44
42308	01Jun2013  0930	5.44
42309	01Jun2013  1000	5.44
42310	01Jun2013  1030	5.44
42311	01Jun2013  1100	5.44
42312	01Jun2013  1130	5.44
42313	01Jun2013  1200	5.44
42314	01Jun2013  1230	5.44
42315	01Jun2013  1300	5.58
42316	01Jun2013  1330	5.44
42317	01Jun2013  1400	5.44
42318	01Jun2013  1430	5.44
42319	01Jun2013  1500	5.44
42320	01Jun2013  1530	5.44
42321	01Jun2013  1600	5.44
42322	01Jun2013  1630	5.44
42323	01Jun2013  1700	5.44
42324	01Jun2013  1730	5.44
42325	01Jun2013  1800	5.44
42326	01Jun2013  1830	5.44
42327	01Jun2013  1900	5.44
42328	01Jun2013  1930	5.44
42329	01Jun2013  2000	5.44
42330	01Jun2013  2030	5.44
42331	01Jun2013  2100	5.44
42332	01Jun2013  2130	5.44
42333	01Jun2013  2200	5.44
42334	01Jun2013  2230	5.44
42335	01Jun2013  2300	5.44
42336	01Jun2013  2330	5.44
42337	02Jun2013  0000	5.44
42338	02Jun2013  0030	5.58
42339	02Jun2013  0100	5.58
42340	02Jun2013  0130	5.58
42341	02Jun2013  0200	5.58
42342	02Jun2013  0230	5.72
42343	02Jun2013  0300	5.87
42344	02Jun2013  0330	6.15
42345	02Jun2013  0400	6.74
42346	02Jun2013  0430	7.54
42347	02Jun2013  0500	8.59
42348	02Jun2013  0530	9.69
42349	02Jun2013  0600	10.71
42350	02Jun2013  0630	11.79
42351	02Jun2013  0700	12.95
42352	02Jun2013  0730	13.69
42353	02Jun2013  0800	14.68
42354	02Jun2013  0830	15.47
42355	02Jun2013  0900	16.01
42356	02Jun2013  0930	16.58
42357	02Jun2013  1000	17.43
42358	02Jun2013  1030	17.74
42359	02Jun2013  1100	18.02
42360	02Jun2013  1130	18.62
42361	02Jun2013  1200	18.93
42362	02Jun2013  1230	19.24
42363	02Jun2013  1300	19.24
42364	02Jun2013  1330	19.55
42365	02Jun2013  1400	19.87
42366	02Jun2013  1430	19.87
42367	02Jun2013  1500	19.87
42368	02Jun2013  1530	20.18
42369	02Jun2013  1600	20.18
42370	02Jun2013  1630	20.18
42371	02Jun2013  1700	20.52
42372	02Jun2013  1730	20.52
42373	02Jun2013  1800	20.83
42374	02Jun2013  1830	20.83
42375	02Jun2013  1900	21.17
42376	02Jun2013  1930	21.17
42377	02Jun2013  2000	21.48
42378	02Jun2013  2030	21.82
42379	02Jun2013  2100	22.16
42380	02Jun2013  2130	22.84
42381	02Jun2013  2200	23.55
42382	02Jun2013  2230	23.92
42383	02Jun2013  2300	24.63
42384	02Jun2013  2330	25.39
42385	03Jun2013  0000	26.13
42386	03Jun2013  0030	27.29
42387	03Jun2013  0100	28.08
42388	03Jun2013  0130	28.91
42389	03Jun2013  0200	29.76
42390	03Jun2013  0230	30.89
42391	03Jun2013  0300	31.74
42392	03Jun2013  0330	33.16
42393	03Jun2013  0400	34.01
42394	03Jun2013  0430	34.86
42395	03Jun2013  0500	35.99
42396	03Jun2013  0530	37.41
42397	03Jun2013  0600	37.69
42398	03Jun2013  0630	39.11
42399	03Jun2013  0700	40.24
42400	03Jun2013  0730	41.09
42401	03Jun2013  0800	42.22
42402	03Jun2013  0830	43.36
42403	03Jun2013  0900	43.92
42404	03Jun2013  0930	44.21
42405	03Jun2013  1000	44.77
42406	03Jun2013  1030	45.06
42407	03Jun2013  1100	45.63
42408	03Jun2013  1130	46.48
42409	03Jun2013  1200	47.04
42410	03Jun2013  1230	47.33
42411	03Jun2013  1300	47.33
42412	03Jun2013  1330	47.89
42413	03Jun2013  1400	48.18
42414	03Jun2013  1430	48.74
42415	03Jun2013  1500	49.31
42416	03Jun2013  1530	49.59
42417	03Jun2013  1600	49.59
42418	03Jun2013  1630	50.16
42419	03Jun2013  1700	50.44
42420	03Jun2013  1730	50.44
42421	03Jun2013  1800	51.01
42422	03Jun2013  1830	51.58
42423	03Jun2013  1900	51.86
42424	03Jun2013  1930	51.86
42425	03Jun2013  2000	52.43
42426	03Jun2013  2030	52.43
42427	03Jun2013  2100	52.43
42428	03Jun2013  2130	52.99
42429	03Jun2013  2200	52.99
42430	03Jun2013  2230	52.99
42431	03Jun2013  2300	52.99
42432	03Jun2013  2330	52.99
42433	04Jun2013  0000	52.99
42434	04Jun2013  0030	52.99
42435	04Jun2013  0100	52.99
42436	04Jun2013  0130	52.43
42437	04Jun2013  0200	52.43
42438	04Jun2013  0230	51.86
42439	04Jun2013  0300	51.86
42440	04Jun2013  0330	51.58
42441	04Jun2013  0400	51.01
42442	04Jun2013  0430	50.44
42443	04Jun2013  0500	50.16
42444	04Jun2013  0530	49.59
42445	04Jun2013  0600	49.31
42446	04Jun2013  0630	48.74
42447	04Jun2013  0700	48.18
42448	04Jun2013  0730	47.89
42449	04Jun2013  0800	47.04
42450	04Jun2013  0830	46.48
42451	04Jun2013  0900	46.19
42452	04Jun2013  0930	45.63
42453	04Jun2013  1000	44.77
42454	04Jun2013  1030	44.21
42455	04Jun2013  1100	43.92
42456	04Jun2013  1130	43.36
42457	04Jun2013  1200	42.22
42458	04Jun2013  1230	41.66
42459	04Jun2013  1300	41.09
42460	04Jun2013  1330	40.81
42461	04Jun2013  1400	39.67
42462	04Jun2013  1430	39.11
42463	04Jun2013  1500	38.82
42464	04Jun2013  1530	38.26
42465	04Jun2013  1600	37.69
42466	04Jun2013  1630	37.41
42467	04Jun2013  1700	36.84
42468	04Jun2013  1730	36.27
42469	04Jun2013  1800	35.99
42470	04Jun2013  1830	35.42
42471	04Jun2013  1900	34.86
42472	04Jun2013  1930	34.57
42473	04Jun2013  2000	34.01
42474	04Jun2013  2030	33.72
42475	04Jun2013  2100	33.16
42476	04Jun2013  2130	32.59
42477	04Jun2013  2200	32.31
42478	04Jun2013  2230	31.74
42479	04Jun2013  2300	31.46
42480	04Jun2013  2330	31.46
42481	05Jun2013  0000	30.89
42482	05Jun2013  0030	30.61
42483	05Jun2013  0100	30.04
42484	05Jun2013  0130	29.76
42485	05Jun2013  0200	29.19
42486	05Jun2013  0230	28.91
42487	05Jun2013  0300	28.62
42488	05Jun2013  0330	28.08
42489	05Jun2013  0400	27.69
42490	05Jun2013  0430	27.29
42491	05Jun2013  0500	26.89
42492	05Jun2013  0530	26.89
42493	05Jun2013  0600	26.52
42494	05Jun2013  0630	26.13
42495	05Jun2013  0700	25.76
42496	05Jun2013  0730	25.39
42497	05Jun2013  0800	24.99
42498	05Jun2013  0830	24.63
42499	05Jun2013  0900	24.29
42500	05Jun2013  0930	24.29
42501	05Jun2013  1000	23.92
42502	05Jun2013  1030	23.55
42503	05Jun2013  1100	23.21
42504	05Jun2013  1130	22.84
42505	05Jun2013  1200	22.50
42506	05Jun2013  1230	22.16
42507	05Jun2013  1300	21.82
42508	05Jun2013  1330	21.48
42509	05Jun2013  1400	21.48
42510	05Jun2013  1430	20.83
42511	05Jun2013  1500	20.83
42512	05Jun2013  1530	20.52
42513	05Jun2013  1600	20.18
42514	05Jun2013  1630	19.87
42515	05Jun2013  1700	19.87
42516	05Jun2013  1730	19.55
42517	05Jun2013  1800	19.24
42518	05Jun2013  1830	18.93
42519	05Jun2013  1900	18.62
42520	05Jun2013  1930	18.62
42521	05Jun2013  2000	18.34
42522	05Jun2013  2030	18.34
42523	05Jun2013  2100	18.02
42524	05Jun2013  2130	17.74
42525	05Jun2013  2200	17.74
42526	05Jun2013  2230	17.43
42527	05Jun2013  2300	17.14
42528	05Jun2013  2330	16.86
42529	06Jun2013  0000	16.58
42530	06Jun2013  0030	16.58
42531	06Jun2013  0100	16.29
42532	06Jun2013  0130	16.01
42533	06Jun2013  0200	16.01
42534	06Jun2013  0230	15.76
42535	06Jun2013  0300	15.76
42536	06Jun2013  0330	15.47
42537	06Jun2013  0400	15.47
42538	06Jun2013  0430	15.22
42539	06Jun2013  0500	15.22
42540	06Jun2013  0530	14.96
42541	06Jun2013  0600	14.96
42542	06Jun2013  0630	14.68
42543	06Jun2013  0700	14.68
42544	06Jun2013  0730	14.42
42545	06Jun2013  0800	14.17
42546	06Jun2013  0830	14.17
42547	06Jun2013  0900	13.91
42548	06Jun2013  0930	13.91
42549	06Jun2013  1000	13.69
42550	06Jun2013  1030	13.69
42551	06Jun2013  1100	13.43
42552	06Jun2013  1130	13.43
42553	06Jun2013  1200	13.21
42554	06Jun2013  1230	13.21
42555	06Jun2013  1300	12.95
42556	06Jun2013  1330	12.95
42557	06Jun2013  1400	12.95
42558	06Jun2013  1430	12.72
42559	06Jun2013  1500	12.47
42560	06Jun2013  1530	12.47
42561	06Jun2013  1600	12.47
42562	06Jun2013  1630	12.47
42563	06Jun2013  1700	12.24
42564	06Jun2013  1730	12.02
42565	06Jun2013  1800	12.02
42566	06Jun2013  1830	12.02
42567	06Jun2013  1900	12.02
42568	06Jun2013  1930	11.79
42569	06Jun2013  2000	11.79
42570	06Jun2013  2030	11.79
42571	06Jun2013  2100	11.59
42572	06Jun2013  2130	11.59
42573	06Jun2013  2200	11.59
42574	06Jun2013  2230	11.36
42575	06Jun2013  2300	11.36
42576	06Jun2013  2330	11.36
42577	07Jun2013  0000	11.14
42578	07Jun2013  0030	11.14
42579	07Jun2013  0100	11.14
42580	07Jun2013  0130	10.94
42581	07Jun2013  0200	10.94
42582	07Jun2013  0230	10.94
42583	07Jun2013  0300	10.71
42584	07Jun2013  0330	10.71
42585	07Jun2013  0400	10.71
42586	07Jun2013  0430	10.51
42587	07Jun2013  0500	10.51
42588	07Jun2013  0530	10.51
42589	07Jun2013  0600	10.32
42590	07Jun2013  0630	10.32
42591	07Jun2013  0700	10.32
42592	07Jun2013  0730	10.09
42593	07Jun2013  0800	10.09
42594	07Jun2013  0830	10.09
42595	07Jun2013  0900	9.89
42596	07Jun2013  0930	9.89
42597	07Jun2013  1000	9.89
42598	07Jun2013  1030	9.89
42599	07Jun2013  1100	9.69
42600	07Jun2013  1130	9.69
42601	07Jun2013  1200	9.69
42602	07Jun2013  1230	9.69
42603	07Jun2013  1300	9.69
42604	07Jun2013  1330	9.52
42605	07Jun2013  1400	9.52
42606	07Jun2013  1430	9.52
42607	07Jun2013  1500	9.32
42608	07Jun2013  1530	9.32
42609	07Jun2013  1600	9.32
42610	07Jun2013  1630	9.32
42611	07Jun2013  1700	9.32
42612	07Jun2013  1730	9.13
42613	07Jun2013  1800	9.13
42614	07Jun2013  1830	9.13
42615	07Jun2013  1900	9.13
42616	07Jun2013  1930	9.13
42617	07Jun2013  2000	8.93
42618	07Jun2013  2030	8.93
42619	07Jun2013  2100	8.93
42620	07Jun2013  2130	8.93
42621	07Jun2013  2200	8.93
42622	07Jun2013  2230	8.93
42623	07Jun2013  2300	8.76
42624	07Jun2013  2330	8.76
42625	08Jun2013  0000	8.76
42626	08Jun2013  0030	8.76
42627	08Jun2013  0100	8.59
42628	08Jun2013  0130	8.59
42629	08Jun2013  0200	8.59
42630	08Jun2013  0230	8.59
42631	08Jun2013  0300	8.39
42632	08Jun2013  0330	8.39
42633	08Jun2013  0400	8.39
42634	08Jun2013  0430	8.39
42635	08Jun2013  0500	8.39
42636	08Jun2013  0530	8.22
42637	08Jun2013  0600	8.22
42638	08Jun2013  0630	8.22
42639	08Jun2013  0700	8.22
42640	08Jun2013  0730	8.22
42641	08Jun2013  0800	8.22
42642	08Jun2013  0830	8.05
42643	08Jun2013  0900	8.05
42644	08Jun2013  0930	8.05
42645	08Jun2013  1000	8.05
42646	08Jun2013  1030	8.05
42647	08Jun2013  1100	8.05
42648	08Jun2013  1130	7.88
42649	08Jun2013  1200	7.88
42650	08Jun2013  1230	7.88
42651	08Jun2013  1300	7.88
42652	08Jun2013  1330	7.88
42653	08Jun2013  1400	7.88
42654	08Jun2013  1430	7.88
42655	08Jun2013  1500	7.71
42656	08Jun2013  1530	7.71
42657	08Jun2013  1600	7.71
42658	08Jun2013  1630	7.71
42659	08Jun2013  1700	7.71
42660	08Jun2013  1730	7.71
42661	08Jun2013  1800	7.71
42662	08Jun2013  1830	7.71
42663	08Jun2013  1900	7.71
42664	08Jun2013  1930	7.54
42665	08Jun2013  2000	7.54
42666	08Jun2013  2030	7.54
42667	08Jun2013  2100	7.54
42668	08Jun2013  2130	7.54
42669	08Jun2013  2200	7.54
42670	08Jun2013  2230	7.54
42671	08Jun2013  2300	7.54
42672	08Jun2013  2330	7.37
42673	09Jun2013  0000	7.37
42674	09Jun2013  0030	7.37
42675	09Jun2013  0100	7.37
42676	09Jun2013  0130	7.37
42677	09Jun2013  0200	7.37
42678	09Jun2013  0230	7.37
42679	09Jun2013  0300	7.37
42680	09Jun2013  0330	7.37
42681	09Jun2013  0400	7.37
42682	09Jun2013  0430	7.37
42683	09Jun2013  0500	7.20
42684	09Jun2013  0530	7.20
42685	09Jun2013  0600	7.20
42686	09Jun2013  0630	7.20
42687	09Jun2013  0700	7.20
42688	09Jun2013  0730	7.20
42689	09Jun2013  0800	7.20
42690	09Jun2013  0830	7.20
42691	09Jun2013  0900	7.06
42692	09Jun2013  0930	7.06
42693	09Jun2013  1000	7.06
42694	09Jun2013  1030	7.06
42695	09Jun2013  1100	7.06
42696	09Jun2013  1130	7.06
42697	09Jun2013  1200	7.06
42698	09Jun2013  1230	7.06
42699	09Jun2013  1300	7.06
42700	09Jun2013  1330	7.06
42701	09Jun2013  1400	6.89
42702	09Jun2013  1430	6.89
42703	09Jun2013  1500	6.89
42704	09Jun2013  1530	6.89
42705	09Jun2013  1600	6.89
42706	09Jun2013  1630	6.89
42707	09Jun2013  1700	6.89
42708	09Jun2013  1730	6.89
42709	09Jun2013  1800	6.89
42710	09Jun2013  1830	6.89
42711	09Jun2013  1900	6.89
42712	09Jun2013  1930	6.89
42713	09Jun2013  2000	6.89
42714	09Jun2013  2030	6.89
42715	09Jun2013  2100	6.74
42716	09Jun2013  2130	6.74
42717	09Jun2013  2200	6.74
42718	09Jun2013  2230	6.74
42719	09Jun2013  2300	6.74
42720	09Jun2013  2330	6.74
42721	10Jun2013  0000	6.74
42722	10Jun2013  0030	6.74
42723	10Jun2013  0100	6.89
42724	10Jun2013  0130	6.74
42725	10Jun2013  0200	6.74
42726	10Jun2013  0230	6.89
42727	10Jun2013  0300	6.89
42728	10Jun2013  0330	6.89
42729	10Jun2013  0400	6.89
42730	10Jun2013  0430	6.89
42731	10Jun2013  0500	6.89
42732	10Jun2013  0530	6.89
42733	10Jun2013  0600	6.89
42734	10Jun2013  0630	6.89
42735	10Jun2013  0700	6.89
42736	10Jun2013  0730	6.89
42737	10Jun2013  0800	6.89
42738	10Jun2013  0830	6.89
42739	10Jun2013  0900	6.89
42740	10Jun2013  0930	6.89
42741	10Jun2013  1000	6.89
42742	10Jun2013  1030	6.89
42743	10Jun2013  1100	6.89
42744	10Jun2013  1130	6.89
42745	10Jun2013  1200	6.89
42746	10Jun2013  1230	6.89
42747	10Jun2013  1300	6.89
42748	10Jun2013  1330	6.89
42749	10Jun2013  1400	6.89
42750	10Jun2013  1430	6.89
42751	10Jun2013  1500	6.89
42752	10Jun2013  1530	6.89
42753	10Jun2013  1600	6.89
42754	10Jun2013  1630	6.89
42755	10Jun2013  1700	6.89
42756	10Jun2013  1730	6.89
42757	10Jun2013  1800	6.89
42758	10Jun2013  1830	6.89
42759	10Jun2013  1900	6.89
42760	10Jun2013  1930	6.89
42761	10Jun2013  2000	6.89
42762	10Jun2013  2030	6.89
42763	10Jun2013  2100	6.89
42764	10Jun2013  2130	6.89
42765	10Jun2013  2200	7.06
42766	10Jun2013  2230	7.20
42767	10Jun2013  2300	7.20
42768	10Jun2013  2330	7.20
42769	11Jun2013  0000	7.37
42770	11Jun2013  0030	7.37
42771	11Jun2013  0100	7.37
42772	11Jun2013  0130	7.37
42773	11Jun2013  0200	7.37
42774	11Jun2013  0230	7.37
42775	11Jun2013  0300	7.37
42776	11Jun2013  0330	7.37
42777	11Jun2013  0400	7.37
42778	11Jun2013  0430	7.37
42779	11Jun2013  0500	7.54
42780	11Jun2013  0530	7.54
42781	11Jun2013  0600	7.71
42782	11Jun2013  0630	7.88
42783	11Jun2013  0700	8.05
42784	11Jun2013  0730	8.22
42785	11Jun2013  0800	8.39
42786	11Jun2013  0830	8.76
42787	11Jun2013  0900	8.76
42788	11Jun2013  0930	8.93
42789	11Jun2013  1000	9.13
42790	11Jun2013  1030	9.32
42791	11Jun2013  1100	9.52
42792	11Jun2013  1130	9.69
42793	11Jun2013  1200	9.69
42794	11Jun2013  1230	9.89
42795	11Jun2013  1300	9.89
42796	11Jun2013  1330	9.89
42797	11Jun2013  1400	9.89
42798	11Jun2013  1430	9.89
42799	11Jun2013  1500	9.89
42800	11Jun2013  1530	9.89
42801	11Jun2013  1600	9.89
42802	11Jun2013  1630	9.69
42803	11Jun2013  1700	9.69
42804	11Jun2013  1730	9.69
42805	11Jun2013  1800	9.69
42806	11Jun2013  1830	9.52
42807	11Jun2013  1900	9.52
42808	11Jun2013  1930	9.32
42809	11Jun2013  2000	9.32
42810	11Jun2013  2030	9.32
42811	11Jun2013  2100	9.32
42812	11Jun2013  2130	9.13
42813	11Jun2013  2200	9.13
42814	11Jun2013  2230	9.13
42815	11Jun2013  2300	8.93
42816	11Jun2013  2330	8.93
42817	12Jun2013  0000	8.93
42818	12Jun2013  0030	8.93
42819	12Jun2013  0100	8.76
42820	12Jun2013  0130	8.76
42821	12Jun2013  0200	8.76
42822	12Jun2013  0230	8.76
42823	12Jun2013  0300	8.76
42824	12Jun2013  0330	8.59
42825	12Jun2013  0400	8.59
42826	12Jun2013  0430	8.59
42827	12Jun2013  0500	8.59
42828	12Jun2013  0530	8.59
42829	12Jun2013  0600	8.39
42830	12Jun2013  0630	8.39
42831	12Jun2013  0700	8.59
42832	12Jun2013  0730	8.59
42833	12Jun2013  0800	8.59
42834	12Jun2013  0830	8.59
42835	12Jun2013  0900	8.59
42836	12Jun2013  0930	8.59
42837	12Jun2013  1000	8.59
42838	12Jun2013  1030	8.59
42839	12Jun2013  1100	8.76
42840	12Jun2013  1130	8.76
42841	12Jun2013  1200	8.76
42842	12Jun2013  1230	8.76
42843	12Jun2013  1300	8.76
42844	12Jun2013  1330	8.76
42845	12Jun2013  1400	8.76
42846	12Jun2013  1430	8.76
42847	12Jun2013  1500	8.76
42848	12Jun2013  1530	8.76
42849	12Jun2013  1600	8.93
42850	12Jun2013  1630	8.93
42851	12Jun2013  1700	8.93
42852	12Jun2013  1730	8.93
42853	12Jun2013  1800	8.93
42854	12Jun2013  1830	8.93
42855	12Jun2013  1900	8.93
42856	12Jun2013  1930	8.93
42857	12Jun2013  2000	8.93
42858	12Jun2013  2030	8.93
42859	12Jun2013  2100	8.93
42860	12Jun2013  2130	8.93
42861	12Jun2013  2200	8.93
42862	12Jun2013  2230	8.93
42863	12Jun2013  2300	8.93
42864	12Jun2013  2330	8.93
42865	13Jun2013  0000	10.51
42866	13Jun2013  0030	10.32
42867	13Jun2013  0100	10.32
42868	13Jun2013  0130	10.32
42869	13Jun2013  0200	10.32
42870	13Jun2013  0230	10.32
42871	13Jun2013  0300	10.32
42872	13Jun2013  0330	10.51
42873	13Jun2013  0400	10.51
42874	13Jun2013  0430	10.71
42875	13Jun2013  0500	10.94
42876	13Jun2013  0530	11.14
42877	13Jun2013  0600	11.59
42878	13Jun2013  0630	11.79
42879	13Jun2013  0700	12.02
42880	13Jun2013  0730	12.47
42881	13Jun2013  0800	13.21
42882	13Jun2013  0830	13.91
42883	13Jun2013  0900	14.96
42884	13Jun2013  0930	15.76
42885	13Jun2013  1000	17.14
42886	13Jun2013  1030	18.34
42887	13Jun2013  1100	19.87
42888	13Jun2013  1130	21.48
42889	13Jun2013  1200	22.84
42890	13Jun2013  1230	24.29
42891	13Jun2013  1300	24.99
42892	13Jun2013  1330	26.13
42893	13Jun2013  1400	26.89
42894	13Jun2013  1430	27.29
42895	13Jun2013  1500	27.69
42896	13Jun2013  1530	28.08
42897	13Jun2013  1600	28.62
42898	13Jun2013  1630	28.62
42899	13Jun2013  1700	28.91
42900	13Jun2013  1730	28.91
42901	13Jun2013  1800	28.91
42902	13Jun2013  1830	28.91
42903	13Jun2013  1900	28.91
42904	13Jun2013  1930	28.91
42905	13Jun2013  2000	28.91
42906	13Jun2013  2030	28.91
42907	13Jun2013  2100	28.62
42908	13Jun2013  2130	28.62
42909	13Jun2013  2200	28.62
42910	13Jun2013  2230	28.62
42911	13Jun2013  2300	28.08
42912	13Jun2013  2330	28.08
42913	14Jun2013  0000	28.08
42914	14Jun2013  0030	27.69
42915	14Jun2013  0100	27.69
42916	14Jun2013  0130	27.69
42917	14Jun2013  0200	27.69
42918	14Jun2013  0230	27.69
42919	14Jun2013  0300	27.69
42920	14Jun2013  0330	28.08
42921	14Jun2013  0400	28.62
42922	14Jun2013  0430	28.91
42923	14Jun2013  0500	29.76
42924	14Jun2013  0530	31.46
42925	14Jun2013  0600	33.16
42926	14Jun2013  0630	35.42
42927	14Jun2013  0700	38.26
42928	14Jun2013  0730	41.09
42929	14Jun2013  0800	44.77
42930	14Jun2013  0830	47.89
42931	14Jun2013  0900	51.01
42932	14Jun2013  0930	54.98
42933	14Jun2013  1000	58.38
42934	14Jun2013  1030	61.21
42935	14Jun2013  1100	63.76
42936	14Jun2013  1130	66.03
42937	14Jun2013  1200	68.30
42938	14Jun2013  1230	70.28
42939	14Jun2013  1300	72.26
42940	14Jun2013  1330	73.96
42941	14Jun2013  1400	75.66
42942	14Jun2013  1430	76.51
42943	14Jun2013  1500	77.93
42944	14Jun2013  1530	78.50
42945	14Jun2013  1600	79.91
42946	14Jun2013  1630	80.48
42947	14Jun2013  1700	81.62
42948	14Jun2013  1730	82.18
42949	14Jun2013  1800	83.03
42950	14Jun2013  1830	83.60
42951	14Jun2013  1900	83.60
42952	14Jun2013  1930	85.30
42953	14Jun2013  2000	85.58
42954	14Jun2013  2030	86.15
42955	14Jun2013  2100	86.15
42956	14Jun2013  2130	86.72
42957	14Jun2013  2200	87.28
42958	14Jun2013  2230	87.28
42959	14Jun2013  2300	87.85
42960	14Jun2013  2330	87.85
42961	15Jun2013  0000	88.42
42962	15Jun2013  0030	88.42
42963	15Jun2013  0100	88.98
42964	15Jun2013  0130	88.42
42965	15Jun2013  0200	88.42
42966	15Jun2013  0230	88.42
42967	15Jun2013  0300	88.42
42968	15Jun2013  0330	88.42
42969	15Jun2013  0400	88.98
42970	15Jun2013  0430	88.98
42971	15Jun2013  0500	88.98
42972	15Jun2013  0530	88.98
42973	15Jun2013  0600	89.27
42974	15Jun2013  0630	89.27
42975	15Jun2013  0700	89.27
42976	15Jun2013  0730	89.83
42977	15Jun2013  0800	89.83
42978	15Jun2013  0830	89.83
42979	15Jun2013  0900	89.83
42980	15Jun2013  0930	89.83
42981	15Jun2013  1000	89.83
42982	15Jun2013  1030	90.40
42983	15Jun2013  1100	90.40
42984	15Jun2013  1130	90.40
42985	15Jun2013  1200	90.40
42986	15Jun2013  1230	90.97
42987	15Jun2013  1300	90.97
42988	15Jun2013  1330	90.97
42989	15Jun2013  1400	90.97
42990	15Jun2013  1430	90.97
42991	15Jun2013  1500	90.97
42992	15Jun2013  1530	91.53
42993	15Jun2013  1600	91.53
42994	15Jun2013  1630	91.53
42995	15Jun2013  1700	90.97
42996	15Jun2013  1730	90.97
42997	15Jun2013  1800	90.40
42998	15Jun2013  1830	89.83
42999	15Jun2013  1900	89.83
43000	15Jun2013  1930	89.27
43001	15Jun2013  2000	88.98
43002	15Jun2013  2030	87.85
43003	15Jun2013  2100	87.28
43004	15Jun2013  2130	86.15
43005	15Jun2013  2200	85.30
43006	15Jun2013  2230	84.17
43007	15Jun2013  2300	83.03
43008	15Jun2013  2330	82.18
43009	16Jun2013  0000	81.05
