A		SANDUSKY RIVER NEAR FREMONT
B		OBSERVED_EDITED
C		DISCHARGE
E		
F		USGS
Units		cms
Type		INST-VAL
352	09Jan2011  0730	0.00
353	09Jan2011  0800	0.00
354	09Jan2011  0830	0.00
355	09Jan2011  0900	0.00
356	09Jan2011  0930	0.00
357	09Jan2011  1000	0.00
358	09Jan2011  1030	0.00
359	09Jan2011  1100	0.00
360	09Jan2011  1130	0.00
361	09Jan2011  1200	0.00
362	09Jan2011  1230	0.00
363	09Jan2011  1300	0.00
364	09Jan2011  1330	0.00
365	09Jan2011  1400	0.00
366	09Jan2011  1430	0.00
367	09Jan2011  1500	0.00
368	09Jan2011  1530	0.00
369	09Jan2011  1600	0.00
370	09Jan2011  1630	0.00
371	09Jan2011  1700	0.00
372	09Jan2011  1730	0.00
373	09Jan2011  1800	0.00
374	09Jan2011  1830	0.00
375	09Jan2011  1900	0.00
376	09Jan2011  1930	0.00
377	09Jan2011  2000	0.00
378	09Jan2011  2030	0.00
379	09Jan2011  2100	0.00
380	09Jan2011  2130	0.00
381	09Jan2011  2200	0.00
382	09Jan2011  2230	0.00
383	09Jan2011  2300	0.00
384	09Jan2011  2330	0.00
385	10Jan2011  0000	0.00
386	10Jan2011  0030	0.00
387	10Jan2011  0100	0.00
388	10Jan2011  0130	0.00
389	10Jan2011  0200	0.00
390	10Jan2011  0230	0.00
391	10Jan2011  0300	0.00
392	10Jan2011  0330	0.00
393	10Jan2011  0400	0.00
394	10Jan2011  0430	0.00
395	10Jan2011  0500	0.00
396	10Jan2011  0530	0.00
397	10Jan2011  0600	0.00
398	10Jan2011  0630	0.00
399	10Jan2011  0700	0.00
400	10Jan2011  0730	0.00
401	10Jan2011  0800	0.00
402	10Jan2011  0830	0.00
403	10Jan2011  0900	0.00
404	10Jan2011  0930	0.00
405	10Jan2011  1000	0.00
406	10Jan2011  1030	0.00
407	10Jan2011  1100	0.00
408	10Jan2011  1130	0.00
409	10Jan2011  1200	0.00
410	10Jan2011  1230	0.00
411	10Jan2011  1300	0.00
412	10Jan2011  1330	0.00
413	10Jan2011  1400	0.00
414	10Jan2011  1430	0.00
415	10Jan2011  1500	0.00
416	10Jan2011  1530	0.00
417	10Jan2011  1600	0.00
418	10Jan2011  1630	0.00
419	10Jan2011  1700	0.00
420	10Jan2011  1730	0.00
421	10Jan2011  1800	0.00
422	10Jan2011  1830	0.00
423	10Jan2011  1900	0.00
424	10Jan2011  1930	0.00
425	10Jan2011  2000	0.00
426	10Jan2011  2030	0.00
427	10Jan2011  2100	0.00
428	10Jan2011  2130	0.00
429	10Jan2011  2200	0.00
430	10Jan2011  2230	0.00
431	10Jan2011  2300	0.00
432	10Jan2011  2330	0.00
433	11Jan2011  0000	0.00
434	11Jan2011  0030	0.00
435	11Jan2011  0100	0.00
436	11Jan2011  0130	0.00
437	11Jan2011  0200	0.00
438	11Jan2011  0230	0.00
439	11Jan2011  0300	0.00
440	11Jan2011  0330	0.00
441	11Jan2011  0400	0.00
442	11Jan2011  0430	0.00
443	11Jan2011  0500	0.00
444	11Jan2011  0530	0.00
445	11Jan2011  0600	0.00
446	11Jan2011  0630	0.00
447	11Jan2011  0700	0.00
448	11Jan2011  0730	0.00
449	11Jan2011  0800	0.00
450	11Jan2011  0830	0.00
451	11Jan2011  0900	0.00
452	11Jan2011  0930	0.00
453	11Jan2011  1000	0.00
454	11Jan2011  1030	0.00
455	11Jan2011  1100	0.00
456	11Jan2011  1130	0.00
457	11Jan2011  1200	0.00
458	11Jan2011  1230	0.00
459	11Jan2011  1300	0.00
460	11Jan2011  1330	0.00
461	11Jan2011  1400	0.00
462	11Jan2011  1430	0.00
463	11Jan2011  1500	0.00
464	11Jan2011  1530	0.00
465	11Jan2011  1600	0.00
466	11Jan2011  1630	0.00
467	11Jan2011  1700	0.00
468	11Jan2011  1730	0.00
469	11Jan2011  1800	0.00
470	11Jan2011  1830	0.00
471	11Jan2011  1900	0.00
472	11Jan2011  1930	0.00
473	11Jan2011  2000	0.00
474	11Jan2011  2030	0.00
475	11Jan2011  2100	0.00
476	11Jan2011  2130	0.00
477	11Jan2011  2200	0.00
478	11Jan2011  2230	0.00
479	11Jan2011  2300	0.00
480	11Jan2011  2330	0.00
481	12Jan2011  0000	0.00
482	12Jan2011  0030	0.00
483	12Jan2011  0100	0.00
484	12Jan2011  0130	0.00
485	12Jan2011  0200	0.00
486	12Jan2011  0230	0.00
487	12Jan2011  0300	0.00
488	12Jan2011  0330	0.00
489	12Jan2011  0400	0.00
490	12Jan2011  0430	0.00
491	12Jan2011  0500	0.00
492	12Jan2011  0530	0.00
493	12Jan2011  0600	0.00
494	12Jan2011  0630	0.00
495	12Jan2011  0700	0.00
496	12Jan2011  0730	0.00
497	12Jan2011  0800	0.00
498	12Jan2011  0830	0.00
499	12Jan2011  0900	0.00
500	12Jan2011  0930	0.00
501	12Jan2011  1000	0.00
502	12Jan2011  1030	0.00
503	12Jan2011  1100	0.00
504	12Jan2011  1130	0.00
505	12Jan2011  1200	0.00
506	12Jan2011  1230	0.00
507	12Jan2011  1300	0.00
508	12Jan2011  1330	0.00
509	12Jan2011  1400	0.00
510	12Jan2011  1430	0.00
511	12Jan2011  1500	0.00
512	12Jan2011  1530	0.00
513	12Jan2011  1600	0.00
514	12Jan2011  1630	0.00
515	12Jan2011  1700	0.00
516	12Jan2011  1730	0.00
517	12Jan2011  1800	0.00
518	12Jan2011  1830	0.00
519	12Jan2011  1900	0.00
520	12Jan2011  1930	0.00
521	12Jan2011  2000	0.00
522	12Jan2011  2030	0.00
523	12Jan2011  2100	0.00
524	12Jan2011  2130	0.00
525	12Jan2011  2200	0.00
526	12Jan2011  2230	0.00
527	12Jan2011  2300	0.00
528	12Jan2011  2330	0.00
529	13Jan2011  0000	0.00
530	13Jan2011  0030	0.00
531	13Jan2011  0100	0.00
532	13Jan2011  0130	0.00
533	13Jan2011  0200	0.00
534	13Jan2011  0230	0.00
535	13Jan2011  0300	0.00
536	13Jan2011  0330	0.00
537	13Jan2011  0400	0.00
538	13Jan2011  0430	0.00
539	13Jan2011  0500	0.00
540	13Jan2011  0530	0.00
541	13Jan2011  0600	0.00
542	13Jan2011  0630	0.00
543	13Jan2011  0700	0.00
544	13Jan2011  0730	0.00
545	13Jan2011  0800	0.00
546	13Jan2011  0830	0.00
547	13Jan2011  0900	0.00
548	13Jan2011  0930	0.00
549	13Jan2011  1000	0.00
550	13Jan2011  1030	0.00
551	13Jan2011  1100	0.00
552	13Jan2011  1130	0.00
553	13Jan2011  1200	0.00
554	13Jan2011  1230	0.00
555	13Jan2011  1300	0.00
556	13Jan2011  1330	0.00
557	13Jan2011  1400	0.00
558	13Jan2011  1430	0.00
559	13Jan2011  1500	0.00
560	13Jan2011  1530	0.00
561	13Jan2011  1600	0.00
562	13Jan2011  1630	0.00
563	13Jan2011  1700	0.00
564	13Jan2011  1730	0.00
565	13Jan2011  1800	0.00
566	13Jan2011  1830	0.00
567	13Jan2011  1900	0.00
568	13Jan2011  1930	0.00
569	13Jan2011  2000	0.00
570	13Jan2011  2030	0.00
571	13Jan2011  2100	0.00
572	13Jan2011  2130	0.00
573	13Jan2011  2200	0.00
574	13Jan2011  2230	0.00
575	13Jan2011  2300	0.00
576	13Jan2011  2330	0.00
577	14Jan2011  0000	0.00
578	14Jan2011  0030	0.00
579	14Jan2011  0100	0.00
580	14Jan2011  0130	0.00
581	14Jan2011  0200	0.00
582	14Jan2011  0230	0.00
583	14Jan2011  0300	0.00
584	14Jan2011  0330	0.00
585	14Jan2011  0400	0.00
586	14Jan2011  0430	0.00
587	14Jan2011  0500	0.00
588	14Jan2011  0530	0.00
589	14Jan2011  0600	0.00
590	14Jan2011  0630	0.00
591	14Jan2011  0700	0.00
592	14Jan2011  0730	0.00
593	14Jan2011  0800	0.00
594	14Jan2011  0830	0.00
595	14Jan2011  0900	0.00
596	14Jan2011  0930	0.00
597	14Jan2011  1000	0.00
598	14Jan2011  1030	0.00
599	14Jan2011  1100	0.00
600	14Jan2011  1130	0.00
601	14Jan2011  1200	0.00
602	14Jan2011  1230	0.00
603	14Jan2011  1300	0.00
604	14Jan2011  1330	0.00
605	14Jan2011  1400	0.00
606	14Jan2011  1430	0.00
607	14Jan2011  1500	0.00
608	14Jan2011  1530	0.00
609	14Jan2011  1600	0.00
610	14Jan2011  1630	0.00
611	14Jan2011  1700	0.00
612	14Jan2011  1730	0.00
613	14Jan2011  1800	0.00
614	14Jan2011  1830	0.00
615	14Jan2011  1900	0.00
616	14Jan2011  1930	0.00
617	14Jan2011  2000	0.00
618	14Jan2011  2030	0.00
619	14Jan2011  2100	0.00
620	14Jan2011  2130	0.00
621	14Jan2011  2200	0.00
622	14Jan2011  2230	0.00
623	14Jan2011  2300	0.00
624	14Jan2011  2330	0.00
625	15Jan2011  0000	0.00
626	15Jan2011  0030	0.00
627	15Jan2011  0100	0.00
628	15Jan2011  0130	0.00
629	15Jan2011  0200	0.00
630	15Jan2011  0230	0.00
631	15Jan2011  0300	0.00
632	15Jan2011  0330	0.00
633	15Jan2011  0400	0.00
634	15Jan2011  0430	0.00
635	15Jan2011  0500	0.00
636	15Jan2011  0530	0.00
637	15Jan2011  0600	0.00
638	15Jan2011  0630	0.00
639	15Jan2011  0700	0.00
640	15Jan2011  0730	0.00
641	15Jan2011  0800	0.00
642	15Jan2011  0830	0.00
643	15Jan2011  0900	0.00
644	15Jan2011  0930	0.00
645	15Jan2011  1000	0.00
646	15Jan2011  1030	0.00
647	15Jan2011  1100	0.00
648	15Jan2011  1130	0.00
649	15Jan2011  1200	0.00
650	15Jan2011  1230	0.00
651	15Jan2011  1300	0.00
652	15Jan2011  1330	0.00
653	15Jan2011  1400	0.00
654	15Jan2011  1430	0.00
655	15Jan2011  1500	0.00
656	15Jan2011  1530	0.00
657	15Jan2011  1600	0.00
658	15Jan2011  1630	0.00
659	15Jan2011  1700	0.00
660	15Jan2011  1730	0.00
661	15Jan2011  1800	0.00
662	15Jan2011  1830	0.00
663	15Jan2011  1900	0.00
664	15Jan2011  1930	0.00
665	15Jan2011  2000	0.00
666	15Jan2011  2030	0.00
667	15Jan2011  2100	0.00
668	15Jan2011  2130	0.00
669	15Jan2011  2200	0.00
670	15Jan2011  2230	0.00
671	15Jan2011  2300	0.00
672	15Jan2011  2330	0.00
673	16Jan2011  0000	0.00
674	16Jan2011  0030	0.00
675	16Jan2011  0100	0.00
676	16Jan2011  0130	0.00
677	16Jan2011  0200	0.00
678	16Jan2011  0230	0.00
679	16Jan2011  0300	0.00
680	16Jan2011  0330	0.00
681	16Jan2011  0400	0.00
682	16Jan2011  0430	0.00
683	16Jan2011  0500	0.00
684	16Jan2011  0530	0.00
685	16Jan2011  0600	0.00
686	16Jan2011  0630	0.00
687	16Jan2011  0700	0.00
688	16Jan2011  0730	0.00
689	16Jan2011  0800	0.00
690	16Jan2011  0830	0.00
691	16Jan2011  0900	0.00
692	16Jan2011  0930	0.00
693	16Jan2011  1000	0.00
694	16Jan2011  1030	0.00
695	16Jan2011  1100	0.00
696	16Jan2011  1130	0.00
697	16Jan2011  1200	0.00
698	16Jan2011  1230	0.00
699	16Jan2011  1300	0.00
700	16Jan2011  1330	0.00
701	16Jan2011  1400	0.00
702	16Jan2011  1430	0.00
703	16Jan2011  1500	0.00
704	16Jan2011  1530	0.00
705	16Jan2011  1600	0.00
706	16Jan2011  1630	0.00
707	16Jan2011  1700	0.00
708	16Jan2011  1730	0.00
709	16Jan2011  1800	0.00
710	16Jan2011  1830	0.00
711	16Jan2011  1900	0.00
712	16Jan2011  1930	0.00
713	16Jan2011  2000	0.00
714	16Jan2011  2030	0.00
715	16Jan2011  2100	0.00
716	16Jan2011  2130	0.00
717	16Jan2011  2200	0.00
718	16Jan2011  2230	0.00
719	16Jan2011  2300	0.00
720	16Jan2011  2330	0.00
721	17Jan2011  0000	0.00
722	17Jan2011  0030	0.00
723	17Jan2011  0100	0.00
724	17Jan2011  0130	0.00
725	17Jan2011  0200	0.00
726	17Jan2011  0230	0.00
727	17Jan2011  0300	0.00
728	17Jan2011  0330	0.00
729	17Jan2011  0400	0.00
730	17Jan2011  0430	0.00
731	17Jan2011  0500	0.00
732	17Jan2011  0530	0.00
733	17Jan2011  0600	0.00
734	17Jan2011  0630	0.00
735	17Jan2011  0700	0.00
736	17Jan2011  0730	0.00
737	17Jan2011  0800	0.00
738	17Jan2011  0830	0.00
739	17Jan2011  0900	0.00
740	17Jan2011  0930	0.00
741	17Jan2011  1000	0.00
742	17Jan2011  1030	0.00
743	17Jan2011  1100	0.00
744	17Jan2011  1130	0.00
745	17Jan2011  1200	0.00
746	17Jan2011  1230	0.00
747	17Jan2011  1300	0.00
748	17Jan2011  1330	0.00
749	17Jan2011  1400	0.00
750	17Jan2011  1430	0.00
751	17Jan2011  1500	0.00
752	17Jan2011  1530	0.00
753	17Jan2011  1600	0.00
754	17Jan2011  1630	0.00
755	17Jan2011  1700	0.00
756	17Jan2011  1730	0.00
757	17Jan2011  1800	0.00
758	17Jan2011  1830	0.00
759	17Jan2011  1900	0.00
760	17Jan2011  1930	0.00
761	17Jan2011  2000	0.00
762	17Jan2011  2030	0.00
763	17Jan2011  2100	0.00
764	17Jan2011  2130	0.00
765	17Jan2011  2200	0.00
766	17Jan2011  2230	0.00
767	17Jan2011  2300	0.00
768	17Jan2011  2330	0.00
769	18Jan2011  0000	0.00
770	18Jan2011  0030	0.00
771	18Jan2011  0100	0.00
772	18Jan2011  0130	0.00
773	18Jan2011  0200	0.00
774	18Jan2011  0230	0.00
775	18Jan2011  0300	0.00
776	18Jan2011  0330	0.00
777	18Jan2011  0400	0.00
778	18Jan2011  0430	0.00
779	18Jan2011  0500	0.00
780	18Jan2011  0530	0.00
781	18Jan2011  0600	0.00
782	18Jan2011  0630	0.00
783	18Jan2011  0700	0.00
784	18Jan2011  0730	0.00
785	18Jan2011  0800	0.00
786	18Jan2011  0830	0.00
787	18Jan2011  0900	0.00
788	18Jan2011  0930	0.00
789	18Jan2011  1000	0.00
790	18Jan2011  1030	0.00
791	18Jan2011  1100	0.00
792	18Jan2011  1130	0.00
793	18Jan2011  1200	0.00
794	18Jan2011  1230	0.00
795	18Jan2011  1300	0.00
796	18Jan2011  1330	0.00
797	18Jan2011  1400	0.00
798	18Jan2011  1430	0.00
799	18Jan2011  1500	0.00
800	18Jan2011  1530	0.00
801	18Jan2011  1600	0.00
802	18Jan2011  1630	0.00
803	18Jan2011  1700	0.00
804	18Jan2011  1730	0.00
805	18Jan2011  1800	0.00
806	18Jan2011  1830	0.00
807	18Jan2011  1900	0.00
808	18Jan2011  1930	0.00
809	18Jan2011  2000	0.00
810	18Jan2011  2030	0.00
811	18Jan2011  2100	0.00
812	18Jan2011  2130	0.00
813	18Jan2011  2200	0.00
814	18Jan2011  2230	0.00
815	18Jan2011  2300	0.00
816	18Jan2011  2330	0.00
817	19Jan2011  0000	0.00
818	19Jan2011  0030	0.00
819	19Jan2011  0100	0.00
820	19Jan2011  0130	0.00
821	19Jan2011  0200	0.00
822	19Jan2011  0230	0.00
823	19Jan2011  0300	0.00
824	19Jan2011  0330	0.00
825	19Jan2011  0400	0.00
826	19Jan2011  0430	0.00
827	19Jan2011  0500	0.00
828	19Jan2011  0530	0.00
829	19Jan2011  0600	0.00
830	19Jan2011  0630	0.00
831	19Jan2011  0700	0.00
832	19Jan2011  0730	0.00
833	19Jan2011  0800	0.00
834	19Jan2011  0830	0.00
835	19Jan2011  0900	0.00
836	19Jan2011  0930	0.00
837	19Jan2011  1000	0.00
838	19Jan2011  1030	0.00
839	19Jan2011  1100	0.00
840	19Jan2011  1130	0.00
841	19Jan2011  1200	0.00
842	19Jan2011  1230	0.00
843	19Jan2011  1300	0.00
844	19Jan2011  1330	0.00
845	19Jan2011  1400	0.00
846	19Jan2011  1430	0.00
847	19Jan2011  1500	0.00
848	19Jan2011  1530	0.00
849	19Jan2011  1600	0.00
850	19Jan2011  1630	0.00
